Test Case,Algorithm,Execution Time,std
r 10000 0.1139,H,0,0.1139
r 10000 0.1139,M,0,0.1139
r 10000 0.1139,Q,0,0.1139
r 10000 0.1139,R,0,0.1139
r 10000 0.1140,H,0,0.1140
r 10000 0.1140,M,0,0.1140
r 10000 0.1140,Q,0,0.1140
r 10000 0.1140,R,0,0.1140
r 10000 0.1141,H,0,0.1141
r 10000 0.1141,M,0,0.1141
r 10000 0.1141,Q,0,0.1141
r 10000 0.1141,R,0,0.1141
r 10000 0.1142,H,0,0.1142
r 10000 0.1142,M,1,0.1142
r 10000 0.1142,Q,0,0.1142
r 10000 0.1142,R,0,0.1142
r 10000 0.1143,H,0,0.1143
r 10000 0.1143,M,0,0.1143
r 10000 0.1143,Q,0,0.1143
r 10000 0.1143,R,0,0.1143
r 10000 0.1144,H,0,0.1144
r 10000 0.1144,M,0,0.1144
r 10000 0.1144,Q,0,0.1144
r 10000 0.1144,R,0,0.1144
r 10000 0.1145,H,0,0.1145
r 10000 0.1145,M,0,0.1145
r 10000 0.1145,Q,0,0.1145
r 10000 0.1145,R,0,0.1145
r 10000 0.1146,H,0,0.1146
r 10000 0.1146,M,1,0.1146
r 10000 0.1146,Q,0,0.1146
r 10000 0.1146,R,0,0.1146
r 10000 0.1147,H,0,0.1147
r 10000 0.1147,M,0,0.1147
r 10000 0.1147,Q,0,0.1147
r 10000 0.1147,R,0,0.1147
r 10000 0.1148,H,0,0.1148
r 10000 0.1148,M,0,0.1148
r 10000 0.1148,Q,0,0.1148
r 10000 0.1148,R,1,0.1148
r 10000 0.1149,H,0,0.1149
r 10000 0.1149,M,0,0.1149
r 10000 0.1149,Q,0,0.1149
r 10000 0.1149,R,0,0.1149
r 10000 0.1150,H,0,0.1150
r 10000 0.1150,M,0,0.1150
r 10000 0.1150,Q,0,0.1150
r 10000 0.1150,R,0,0.1150
r 10000 0.1151,H,0,0.1151
r 10000 0.1151,M,1,0.1151
r 10000 0.1151,Q,0,0.1151
r 10000 0.1151,R,0,0.1151
r 10000 0.1152,H,0,0.1152
r 10000 0.1152,M,0,0.1152
r 10000 0.1152,Q,0,0.1152
r 10000 0.1152,R,0,0.1152
r 10000 0.1153,H,0,0.1153
r 10000 0.1153,M,0,0.1153
r 10000 0.1153,Q,0,0.1153
r 10000 0.1153,R,0,0.1153
r 10000 0.1154,H,0,0.1154
r 10000 0.1154,M,0,0.1154
r 10000 0.1154,Q,0,0.1154
r 10000 0.1154,R,0,0.1154
r 10000 0.1155,H,0,0.1155
r 10000 0.1155,M,0,0.1155
r 10000 0.1155,Q,0,0.1155
r 10000 0.1155,R,0,0.1155
r 10000 0.1156,H,0,0.1156
r 10000 0.1156,M,0,0.1156
r 10000 0.1156,Q,0,0.1156
r 10000 0.1156,R,0,0.1156
r 10000 0.1157,H,0,0.1157
r 10000 0.1157,M,1,0.1157
r 10000 0.1157,Q,0,0.1157
r 10000 0.1157,R,0,0.1157
r 10000 0.1158,H,0,0.1158
r 10000 0.1158,M,0,0.1158
r 10000 0.1158,Q,0,0.1158
r 10000 0.1158,R,0,0.1158
r 10000 0.1159,H,0,0.1159
r 10000 0.1159,M,0,0.1159
r 10000 0.1159,Q,0,0.1159
r 10000 0.1159,R,0,0.1159
r 10000 0.1160,H,0,0.1160
r 10000 0.1160,M,0,0.1160
r 10000 0.1160,Q,0,0.1160
r 10000 0.1160,R,0,0.1160
r 10000 0.1161,H,0,0.1161
r 10000 0.1161,M,0,0.1161
r 10000 0.1161,Q,0,0.1161
r 10000 0.1161,R,0,0.1161
r 10000 0.1162,H,0,0.1162
r 10000 0.1162,M,1,0.1162
r 10000 0.1162,Q,0,0.1162
r 10000 0.1162,R,0,0.1162
r 10000 0.1163,H,0,0.1163
r 10000 0.1163,M,0,0.1163
r 10000 0.1163,Q,0,0.1163
r 10000 0.1163,R,0,0.1163
r 10000 0.1164,H,0,0.1164
r 10000 0.1164,M,0,0.1164
r 10000 0.1164,Q,0,0.1164
r 10000 0.1164,R,0,0.1164
r 10000 0.1165,H,0,0.1165
r 10000 0.1165,M,0,0.1165
r 10000 0.1165,Q,0,0.1165
r 10000 0.1165,R,0,0.1165
r 10000 0.1166,H,0,0.1166
r 10000 0.1166,M,0,0.1166
r 10000 0.1166,Q,0,0.1166
r 10000 0.1166,R,0,0.1166
r 10000 0.1167,H,0,0.1167
r 10000 0.1167,M,0,0.1167
r 10000 0.1167,Q,0,0.1167
r 10000 0.1167,R,0,0.1167
r 10000 0.1168,H,0,0.1168
r 10000 0.1168,M,0,0.1168
r 10000 0.1168,Q,0,0.1168
r 10000 0.1168,R,0,0.1168
r 10000 0.1169,H,0,0.1169
r 10000 0.1169,M,0,0.1169
r 10000 0.1169,Q,0,0.1169
r 10000 0.1169,R,0,0.1169
r 10000 0.1170,H,0,0.1170
r 10000 0.1170,M,0,0.1170
r 10000 0.1170,Q,0,0.1170
r 10000 0.1170,R,0,0.1170
r 10000 0.1171,H,0,0.1171
r 10000 0.1171,M,1,0.1171
r 10000 0.1171,Q,0,0.1171
r 10000 0.1171,R,0,0.1171
r 10000 0.1172,H,0,0.1172
r 10000 0.1172,M,0,0.1172
r 10000 0.1172,Q,0,0.1172
r 10000 0.1172,R,0,0.1172
r 10000 0.1173,H,0,0.1173
r 10000 0.1173,M,0,0.1173
r 10000 0.1173,Q,0,0.1173
r 10000 0.1173,R,0,0.1173
r 10000 0.1174,H,0,0.1174
r 10000 0.1174,M,0,0.1174
r 10000 0.1174,Q,0,0.1174
r 10000 0.1174,R,0,0.1174
r 10000 0.1175,H,0,0.1175
r 10000 0.1175,M,0,0.1175
r 10000 0.1175,Q,0,0.1175
r 10000 0.1175,R,0,0.1175
r 10000 0.1176,H,0,0.1176
r 10000 0.1176,M,0,0.1176
r 10000 0.1176,Q,0,0.1176
r 10000 0.1176,R,0,0.1176
r 10000 0.1177,H,0,0.1177
r 10000 0.1177,M,0,0.1177
r 10000 0.1177,Q,0,0.1177
r 10000 0.1177,R,0,0.1177
r 10000 0.1178,H,0,0.1178
r 10000 0.1178,M,0,0.1178
r 10000 0.1178,Q,0,0.1178
r 10000 0.1178,R,0,0.1178
r 10000 0.1179,H,0,0.1179
r 10000 0.1179,M,0,0.1179
r 10000 0.1179,Q,0,0.1179
r 10000 0.1179,R,0,0.1179
r 10000 0.1180,H,0,0.1180
r 10000 0.1180,M,0,0.1180
