Algorithm,swapRate,SortedRatio,ExecutionTime
Q,0.000122,0.999758,202
R,0.000122,0.999758,21
I,0.000123,0.999756,132
H,0.000123,0.999756,48
M,0.000123,0.999756,25
Q,0.000123,0.999756,216
R,0.000123,0.999756,20
I,0.000124,0.999754,129
H,0.000124,0.999754,48
M,0.000124,0.999754,25
Q,0.000124,0.999754,196
R,0.000124,0.999754,21
I,0.000125,0.999752,142
H,0.000125,0.999752,48
M,0.000125,0.999752,26
Q,0.000125,0.999752,184
R,0.000125,0.999752,21
I,0.000126,0.999750,128
H,0.000126,0.999750,48
M,0.000126,0.999750,25
Q,0.000126,0.999750,272
R,0.000126,0.999750,20
I,0.000127,0.999748,124
H,0.000127,0.999748,48
M,0.000127,0.999748,25
Q,0.000127,0.999748,308
R,0.000127,0.999748,20
I,0.000128,0.999746,143
H,0.000128,0.999746,48
M,0.000128,0.999746,25
Q,0.000128,0.999746,269
R,0.000128,0.999746,21
I,0.000129,0.999744,141
H,0.000129,0.999744,48
M,0.000129,0.999744,26
Q,0.000129,0.999744,196
R,0.000129,0.999744,20
I,0.000130,0.999742,133
H,0.000130,0.999742,48
M,0.000130,0.999742,25
Q,0.000130,0.999742,186
R,0.000130,0.999742,21
I,0.000131,0.999740,138
H,0.000131,0.999740,48
M,0.000131,0.999740,25
Q,0.000131,0.999740,230
R,0.000131,0.999740,21
I,0.000132,0.999738,147
H,0.000132,0.999738,48
M,0.000132,0.999738,25
Q,0.000132,0.999738,215
R,0.000132,0.999738,21
I,0.000133,0.999736,140
H,0.000133,0.999736,49
M,0.000133,0.999736,26
Q,0.000133,0.999736,201
R,0.000133,0.999736,21
I,0.000134,0.999734,140
H,0.000134,0.999734,48
M,0.000134,0.999734,26
Q,0.000134,0.999734,324
R,0.000134,0.999734,22
I,0.000135,0.999732,154
H,0.000135,0.999732,48
M,0.000135,0.999732,25
Q,0.000135,0.999732,205
R,0.000135,0.999732,20
I,0.000136,0.999730,142
H,0.000136,0.999730,69
M,0.000136,0.999730,156
Q,0.000136,0.999730,278
R,0.000136,0.999730,24
I,0.000137,0.999728,153
H,0.000137,0.999728,49
M,0.000137,0.999728,27
Q,0.000137,0.999728,202
R,0.000137,0.999728,21
I,0.000138,0.999727,150
H,0.000138,0.999727,48
M,0.000138,0.999727,26
Q,0.000138,0.999727,220
R,0.000138,0.999727,20
I,0.000139,0.999724,138
H,0.000139,0.999724,49
M,0.000139,0.999724,26
Q,0.000139,0.999724,239
R,0.000139,0.999724,20
I,0.000140,0.999722,165
H,0.000140,0.999722,48
M,0.000140,0.999722,25
Q,0.000140,0.999722,224
R,0.000140,0.999722,21
I,0.000141,0.999720,181
H,0.000141,0.999720,50
M,0.000141,0.999720,25
Q,0.000141,0.999720,192
R,0.000141,0.999720,20
I,0.000142,0.999718,179
H,0.000142,0.999718,50
M,0.000142,0.999718,26
Q,0.000142,0.999718,212
R,0.000142,0.999718,20
I,0.000143,0.999716,173
H,0.000143,0.999716,59
M,0.000143,0.999716,27
Q,0.000143,0.999716,240
R,0.000143,0.999716,23
I,0.000144,0.999714,183
H,0.000144,0.999714,49
M,0.000144,0.999714,25
Q,0.000144,0.999714,185
R,0.000144,0.999714,20
I,0.000145,0.999712,151
H,0.000145,0.999712,49
M,0.000145,0.999712,26
Q,0.000145,0.999712,203
R,0.000145,0.999712,20
I,0.000146,0.999710,160
H,0.000146,0.999710,48
M,0.000146,0.999710,26
Q,0.000146,0.999710,223
R,0.000146,0.999710,22
I,0.000147,0.999708,180
H,0.000147,0.999708,49
M,0.000147,0.999708,25
Q,0.000147,0.999708,174
R,0.000147,0.999708,21
I,0.000148,0.999706,149
H,0.000148,0.999706,71
M,0.000148,0.999706,30
Q,0.000148,0.999706,227
R,0.000148,0.999706,21
I,0.000149,0.999704,186
H,0.000149,0.999704,50
M,0.000149,0.999704,25
Q,0.000149,0.999704,238
R,0.000149,0.999704,21
I,0.000150,0.999702,159
H,0.000150,0.999702,50
M,0.000150,0.999702,26
Q,0.000150,0.999702,186
R,0.000150,0.999702,21
I,0.000151,0.999700,158
H,0.000151,0.999700,50
M,0.000151,0.999700,26
Q,0.000151,0.999700,213
R,0.000151,0.999700,20
I,0.000152,0.999698,169
H,0.000152,0.999698,49
M,0.000152,0.999698,25
Q,0.000152,0.999698,185
R,0.000152,0.999698,22
I,0.000153,0.999696,188
H,0.000153,0.999696,54
M,0.000153,0.999696,27
Q,0.000153,0.999696,271
R,0.000153,0.999696,22
I,0.000154,0.999695,175
H,0.000154,0.999695,52
M,0.000154,0.999695,26
Q,0.000154,0.999695,201
R,0.000154,0.999695,22
I,0.000155,0.999692,179
H,0.000155,0.999692,50
M,0.000155,0.999692,25
Q,0.000155,0.999692,160
R,0.000155,0.999692,21
I,0.000156,0.999691,194
H,0.000156,0.999691,49
M,0.000156,0.999691,26
Q,0.000156,0.999691,208
R,0.000156,0.999691,21
I,0.000157,0.999688,170
H,0.000157,0.999688,50
M,0.000157,0.999688,25
Q,0.000157,0.999688,194
R,0.000157,0.999688,21
I,0.000158,0.999686,183
H,0.000158,0.999686,48
M,0.000158,0.999686,25
Q,0.000158,0.999686,228
R,0.000158,0.999686,22
I,0.000159,0.999684,171
H,0.000159,0.999684,49
M,0.000159,0.999684,26
Q,0.000159,0.999684,252
R,0.000159,0.999684,21
I,0.000160,0.999682,181
H,0.000160,0.999682,50
M,0.000160,0.999682,26
Q,0.000160,0.999682,227
R,0.000160,0.999682,21
I,0.000161,0.999680,188
H,0.000161,0.999680,49
M,0.000161,0.999680,25
Q,0.000161,0.999680,306
R,0.000161,0.999680,21
I,0.000162,0.999678,191
H,0.000162,0.999678,49
M,0.000162,0.999678,25
Q,0.000162,0.999678,177
R,0.000162,0.999678,20
I,0.000163,0.999676,181
H,0.000163,0.999676,50
M,0.000163,0.999676,25
Q,0.000163,0.999676,181
R,0.000163,0.999676,21
I,0.000164,0.999674,184
H,0.000164,0.999674,50
M,0.000164,0.999674,25
Q,0.000164,0.999674,300
R,0.000164,0.999674,21
I,0.000165,0.999672,187
H,0.000165,0.999672,49
M,0.000165,0.999672,25
Q,0.000165,0.999672,248
R,0.000165,0.999672,20
I,0.000166,0.999671,189
H,0.000166,0.999671,50
M,0.000166,0.999671,25
Q,0.000166,0.999671,202
R,0.000166,0.999671,20
I,0.000167,0.999668,167
H,0.000167,0.999668,49
M,0.000167,0.999668,26
Q,0.000167,0.999668,191
R,0.000167,0.999668,22
I,0.000168,0.999666,195
H,0.000168,0.999666,49
M,0.000168,0.999666,25
Q,0.000168,0.999666,177
R,0.000168,0.999666,21
I,0.000169,0.999664,169
H,0.000169,0.999664,49
M,0.000169,0.999664,25
Q,0.000169,0.999664,404
R,0.000169,0.999664,20
I,0.000170,0.999662,182
H,0.000170,0.999662,49
M,0.000170,0.999662,26
Q,0.000170,0.999662,287
R,0.000170,0.999662,21
I,0.000171,0.999660,194
H,0.000171,0.999660,48
M,0.000171,0.999660,25
Q,0.000171,0.999660,179
R,0.000171,0.999660,21
I,0.000172,0.999658,186
H,0.000172,0.999658,49
M,0.000172,0.999658,26
Q,0.000172,0.999658,227
R,0.000172,0.999658,20
I,0.000173,0.999657,187
H,0.000173,0.999657,49
M,0.000173,0.999657,25
Q,0.000173,0.999657,168
R,0.000173,0.999657,21
I,0.000174,0.999654,192
H,0.000174,0.999654,49
M,0.000174,0.999654,25
Q,0.000174,0.999654,216
R,0.000174,0.999654,20
I,0.000175,0.999652,182
H,0.000175,0.999652,50
M,0.000175,0.999652,25
Q,0.000175,0.999652,197
R,0.000175,0.999652,20
I,0.000176,0.999650,176
H,0.000176,0.999650,49
M,0.000176,0.999650,25
Q,0.000176,0.999650,224
R,0.000176,0.999650,21
I,0.000177,0.999648,183
H,0.000177,0.999648,48
M,0.000177,0.999648,26
Q,0.000177,0.999648,218
R,0.000177,0.999648,20
I,0.000178,0.999647,190
H,0.000178,0.999647,49
M,0.000178,0.999647,25
Q,0.000178,0.999647,187
R,0.000178,0.999647,20
I,0.000179,0.999644,193
H,0.000179,0.999644,48
M,0.000179,0.999644,25
Q,0.000179,0.999644,201
R,0.000179,0.999644,21
I,0.000180,0.999643,183
H,0.000180,0.999643,49
M,0.000180,0.999643,26
Q,0.000180,0.999643,231
R,0.000180,0.999643,20
I,0.000181,0.999640,214
H,0.000181,0.999640,49
M,0.000181,0.999640,25
Q,0.000181,0.999640,172
R,0.000181,0.999640,20
I,0.000182,0.999638,195
H,0.000182,0.999638,48
M,0.000182,0.999638,25
Q,0.000182,0.999638,182
R,0.000182,0.999638,22
I,0.000183,0.999636,202
H,0.000183,0.999636,48
M,0.000183,0.999636,26
Q,0.000183,0.999636,187
R,0.000183,0.999636,20
I,0.000184,0.999634,190
H,0.000184,0.999634,49
M,0.000184,0.999634,25
Q,0.000184,0.999634,173
R,0.000184,0.999634,21
I,0.000185,0.999632,207
H,0.000185,0.999632,48
M,0.000185,0.999632,25
Q,0.000185,0.999632,180
R,0.000185,0.999632,21
I,0.000186,0.999630,207
H,0.000186,0.999630,48
M,0.000186,0.999630,27
Q,0.000186,0.999630,199
R,0.000186,0.999630,21
I,0.000187,0.999628,203
H,0.000187,0.999628,50
M,0.000187,0.999628,25
Q,0.000187,0.999628,160
R,0.000187,0.999628,21
I,0.000188,0.999626,194
H,0.000188,0.999626,49
M,0.000188,0.999626,26
Q,0.000188,0.999626,211
R,0.000188,0.999626,23
I,0.000189,0.999624,207
H,0.000189,0.999624,49
M,0.000189,0.999624,25
Q,0.000189,0.999624,185
R,0.000189,0.999624,21
I,0.000190,0.999622,221
H,0.000190,0.999622,50
M,0.000190,0.999622,25
Q,0.000190,0.999622,209
R,0.000190,0.999622,21
I,0.000191,0.999620,226
H,0.000191,0.999620,49
M,0.000191,0.999620,25
Q,0.000191,0.999620,160
R,0.000191,0.999620,21
I,0.000192,0.999618,208
H,0.000192,0.999618,48
M,0.000192,0.999618,25
Q,0.000192,0.999618,187
R,0.000192,0.999618,20
I,0.000193,0.999616,208
H,0.000193,0.999616,48
M,0.000193,0.999616,25
Q,0.000193,0.999616,194
R,0.000193,0.999616,21
I,0.000194,0.999614,221
H,0.000194,0.999614,48
M,0.000194,0.999614,26
Q,0.000194,0.999614,202
R,0.000194,0.999614,21
I,0.000195,0.999612,209
