Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
M,0.000155,0.999692,24
Q,0.000155,0.999692,218
R,0.000155,0.999692,45
H,0.000156,0.999690,71
M,0.000156,0.999690,22
Q,0.000156,0.999690,310
R,0.000156,0.999690,31
H,0.000157,0.999688,67
M,0.000157,0.999688,30
Q,0.000157,0.999688,292
R,0.000157,0.999688,27
H,0.000158,0.999686,64
M,0.000158,0.999686,26
Q,0.000158,0.999686,150
R,0.000158,0.999686,34
H,0.000159,0.999684,74
M,0.000159,0.999684,30
Q,0.000159,0.999684,150
R,0.000159,0.999684,27
H,0.000160,0.999682,59
M,0.000160,0.999682,21
Q,0.000160,0.999682,282
R,0.000160,0.999682,34
H,0.000161,0.999680,71
M,0.000161,0.999680,24
Q,0.000161,0.999680,136
R,0.000161,0.999680,29
H,0.000162,0.999678,67
M,0.000162,0.999678,27
Q,0.000162,0.999678,445
R,0.000162,0.999678,35
H,0.000163,0.999676,66
M,0.000163,0.999676,23
Q,0.000163,0.999676,227
R,0.000163,0.999676,32
H,0.000164,0.999674,81
M,0.000164,0.999674,32
Q,0.000164,0.999674,226
R,0.000164,0.999674,38
H,0.000165,0.999672,71
M,0.000165,0.999672,24
Q,0.000165,0.999672,151
R,0.000165,0.999672,49
H,0.000166,0.999670,67
M,0.000166,0.999670,22
Q,0.000166,0.999670,330
R,0.000166,0.999670,40
H,0.000167,0.999668,64
M,0.000167,0.999668,30
Q,0.000167,0.999668,252
R,0.000167,0.999668,33
H,0.000168,0.999666,63
M,0.000168,0.999666,28
Q,0.000168,0.999666,209
R,0.000168,0.999666,28
H,0.000169,0.999664,64
M,0.000169,0.999664,21
Q,0.000169,0.999664,169
R,0.000169,0.999664,31
H,0.000170,0.999662,81
M,0.000170,0.999662,26
Q,0.000170,0.999662,215
R,0.000170,0.999662,37
H,0.000171,0.999660,74
M,0.000171,0.999660,21
Q,0.000171,0.999660,247
R,0.000171,0.999660,41
H,0.000172,0.999660,64
M,0.000172,0.999660,31
Q,0.000172,0.999660,81
R,0.000172,0.999660,26
H,0.000173,0.999656,60
M,0.000173,0.999656,27
Q,0.000173,0.999656,294
R,0.000173,0.999656,26
H,0.000174,0.999654,75
M,0.000174,0.999654,25
Q,0.000174,0.999654,144
R,0.000174,0.999654,41
H,0.000175,0.999652,66
M,0.000175,0.999652,29
Q,0.000175,0.999652,375
R,0.000175,0.999652,38
H,0.000176,0.999650,74
M,0.000176,0.999650,25
Q,0.000176,0.999650,207
R,0.000176,0.999650,33
